,head_cui,head,relation_label,tail_cui,tail,rel_type,rela_raw,sab,has_named_rel,linearised
35899,C0004096,Asthma,has contraindicated drug,C0357701,Physostigmine sulfate,RO,has_contraindicated_drug,MED-RT,True,Asthma has contraindicated drug Physostigmine sulfate.
35900,C0004259,Atropine,has contraindicated class,C0357701,Physostigmine sulfate,RO,has_contraindicated_class,MED-RT,True,Atropine has contraindicated class Physostigmine sulfate.
35901,C0007222,Cardiovascular Disease,has contraindicated drug,C0357701,Physostigmine sulfate,RO,has_contraindicated_drug,MED-RT,True,Cardiovascular Disease has contraindicated drug Physostigmine sulfate.
35902,C0011849,Diabetes Mellitus,has contraindicated drug,C0357701,Physostigmine sulfate,RO,has_contraindicated_drug,MED-RT,True,Diabetes Mellitus has contraindicated drug Physostigmine sulfate.
35903,C0031849,Physostigmine,has modification,C0357701,Physostigmine sulfate,RO,has_modification,SCTSPA,True,Physostigmine has modification Physostigmine sulfate.
35904,C0011849,Diabetes Mellitus,is parent of,C0362046,Prediabetes syndrome,PAR,,MSH,False,Prediabetes syndrome is a type of Diabetes Mellitus.
35905,C0362046,Prediabetes syndrome,related to,C0011849,Diabetes Mellitus,RO,,MSH,False,Prediabetes syndrome is related to Diabetes Mellitus.
35906,C0362046,Prediabetes syndrome,related to,C0020456,Hyperglycemia,RO,,MSH,False,Prediabetes syndrome is related to Hyperglycemia.
35907,C0011849,Diabetes Mellitus,is parent of,C0362046,Prediabetes syndrome,PAR,,CSP,False,Prediabetes syndrome is a type of Diabetes Mellitus.
35908,C0362046,Prediabetes syndrome,is broader than,C0011849,Diabetes Mellitus,RB,,CSP,False,Prediabetes syndrome is a broader concept than Diabetes Mellitus.
35909,C0271632,Diseases Of The Endocrine Pancreas Including Diabetes,is parent of,C0362046,Prediabetes syndrome,PAR,,SNMI,False,Prediabetes syndrome is a type of Diseases Of The Endocrine Pancreas Including Diabetes.
35910,C1869043,Hyperglycaemia/new onset diabetes mellitus (SMQ),has member,C0362046,Prediabetes syndrome,RO,has_member,MDRJPN,True,Hyperglycaemia/new onset diabetes mellitus (SMQ) has member Prediabetes syndrome.
35911,C2721746,Lipodystrophy (SMQ),has member,C0362046,Prediabetes syndrome,RO,has_member,MDRJPN,True,Lipodystrophy (SMQ) has member Prediabetes syndrome.
35912,C0011849,Diabetes Mellitus,is parent of,C0362046,Prediabetes syndrome,PAR,,MSHSWE,False,Prediabetes syndrome is a type of Diabetes Mellitus.
35913,C0362046,Prediabetes syndrome,related to,C0011849,Diabetes Mellitus,RO,,MSHSWE,False,Prediabetes syndrome is related to Diabetes Mellitus.
35914,C0362046,Prediabetes syndrome,related to,C0020456,Hyperglycemia,RO,,MSHSWE,False,Prediabetes syndrome is related to Hyperglycemia.
35915,C0271633,Disorder of endocrine pancreas,is parent of,C0362046,Prediabetes syndrome,PAR,,SNM,False,Prediabetes syndrome is a type of Disorder of endocrine pancreas.
35916,C0011849,Diabetes Mellitus,is parent of,C0362046,Prediabetes syndrome,PAR,,MSHCZE,False,Prediabetes syndrome is a type of Diabetes Mellitus.
35917,C0362046,Prediabetes syndrome,related to,C0011849,Diabetes Mellitus,RO,,MSHCZE,False,Prediabetes syndrome is related to Diabetes Mellitus.
35918,C0362046,Prediabetes syndrome,related to,C0020456,Hyperglycemia,RO,,MSHCZE,False,Prediabetes syndrome is related to Hyperglycemia.
35919,C0011849,Diabetes Mellitus,is parent of,C0362046,Prediabetes syndrome,PAR,,MSHFIN,False,Prediabetes syndrome is a type of Diabetes Mellitus.
35920,C0362046,Prediabetes syndrome,related to,C0011849,Diabetes Mellitus,RO,,MSHFIN,False,Prediabetes syndrome is related to Diabetes Mellitus.
35921,C0362046,Prediabetes syndrome,related to,C0020456,Hyperglycemia,RO,,MSHFIN,False,Prediabetes syndrome is related to Hyperglycemia.
35922,C0011849,Diabetes Mellitus,is parent of,C0362046,Prediabetes syndrome,PAR,,MSHJPN,False,Prediabetes syndrome is a type of Diabetes Mellitus.
35923,C0362046,Prediabetes syndrome,related to,C0011849,Diabetes Mellitus,RO,,MSHJPN,False,Prediabetes syndrome is related to Diabetes Mellitus.
35924,C0362046,Prediabetes syndrome,related to,C0020456,Hyperglycemia,RO,,MSHJPN,False,Prediabetes syndrome is related to Hyperglycemia.
35925,C0011849,Diabetes Mellitus,is parent of,C0362046,Prediabetes syndrome,PAR,,MSHPOL,False,Prediabetes syndrome is a type of Diabetes Mellitus.
35926,C0362046,Prediabetes syndrome,related to,C0011849,Diabetes Mellitus,RO,,MSHPOL,False,Prediabetes syndrome is related to Diabetes Mellitus.
35927,C0362046,Prediabetes syndrome,related to,C0020456,Hyperglycemia,RO,,MSHPOL,False,Prediabetes syndrome is related to Hyperglycemia.
35928,C0362046,Prediabetes syndrome,replaces,C0362046,Prediabetes syndrome,RO,replaces,SNOMEDCT_US,True,Prediabetes syndrome replaces Prediabetes syndrome.
35929,C0011849,Diabetes Mellitus,is parent of,C0362046,Prediabetes syndrome,PAR,,MEDLINEPLUS,False,Prediabetes syndrome is a type of Diabetes Mellitus.
35930,C0014136,endocrine system,is parent of,C0362046,Prediabetes syndrome,PAR,,MEDLINEPLUS,False,Prediabetes syndrome is a type of endocrine system.
35931,C0011849,Diabetes Mellitus,related to,C0362046,Prediabetes syndrome,RO,related_to,MEDLINEPLUS,True,Diabetes Mellitus related to Prediabetes syndrome.
